PUSH  FIND  POP
3563     495     5460     
3567     496     5467     
3571     497     5474     
3575     498     5480     
3580     498     5487     
3585     498     5494     
3590     499     5501     
3595     500     5508     
3599     500     5515     
3604     501     5522     
3609     502     5529     
3614     503     5536     
3619     503     5543     
3624     504     5550     
3628     505     5558     
3632     506     5566     
3636     506     5574     
3641     506     5582     
3645     507     5590     
3650     507     5597     
3654     508     5604     
3659     508     5611     
3663     509     5618     
3668     509     5625     
3672     510     5632     
3677     510     5639     
3682     510     5646     
3686     511     5653     
3691     511     5660     
3696     512     5667     
3700     512     5674     
3705     512     5681     
3710     513     5688     
3715     514     5695     
3719     515     5702     
3724     516     5709     
3729     517     5716     
3734     518     5723     
3739     519     5729     
3743     520     5736     
3747     521     5743     
3751     522     5750     
3755     522     5757     
3759     523     5763     
3764     523     5769     
3768     524     5776     
3772     525     5783     
3777     525     5790     
3781     526     5797     
3785     527     5805     
3789     528     5812     
3794     528     5819     
3798     529     5827     
3802     530     5833     
3807     531     5839     
3812     532     5845     
3816     533     5852     
3821     533     5858     
3826     534     5864     
3830     534     5871     
3835     534     5878     
3839     535     5886     
3843     536     5892     
3847     537     5899     
3851     538     5905     
3855     539     5911     
3859     540     5918     
3863     541     5925     
3867     541     5932     
3872     541     5939     
3877     542     5946     
3881     543     5953     
3886     544     5960     
3890     544     5967     
3895     544     5974     
3899     545     5981     
3903     545     5988     
3907     545     5995     
3912     546     6001     
3917     546     6008     
3922     546     6015     
3926     547     6022     
3931     548     6029     
3935     549     6036     
3940     549     6043     
3945     549     6050     
3950     550     6057     
3954     550     6064     
3959     550     6071     
3963     550     6078     
3968     551     6086     
3973     552     6093     
3978     552     6100     
3982     553     6107     
3987     554     6114     
3992     554     6121     
3997     555     6128     
4001     556     6136     
4006     557     6143     
4011     557     6150     
4016     557     6157     
4020     558     6164     
4025     558     6171     
4030     559     6178     
4035     559     6185     
4040     559     6192     
4044     560     6199     
4049     560     6206     
4054     560     6213     
4058     561     6221     
4063     561     6228     
4068     562     6235     
4072     563     6243     
4077     563     6250     
4082     563     6257     
4086     564     6265     
4090     565     6272     
4094     566     6279     
4099     566     6286     
4103     567     6292     
4108     568     6300     
4113     569     6307     
4118     570     6314     
4123     570     6321     
4128     570     6328     
4133     570     6336     
4138     570     6343     
4143     571     6350     
4147     572     6368     
4151     573     6387     
4156     573     6394     
4161     574     6401     
4166     575     6407     
4171     576     6414     
4176     577     6421     
4181     577     6428     
4185     578     6435     
4190     579     6442     
4194     580     6449     
4198     581     6457     
4203     581     6464     
4207     582     6471     
4211     582     6478     
4216     582     6485     
4221     582     6492     
4226     583     6499     
4230     584     6506     
4234     585     6513     
4239     585     6520     
4244     585     6527     
4249     585     6534     
4254     586     6541     
4259     586     6548     
4264     587     6555     
4268     588     6562     
4273     589     6569     
4278     589     6576     
4283     589     6583     
4287     590     6590     
4291     591     6596     
4296     591     6603     
4301     591     6610     
4305     592     6616     
4310     593     6623     
4314     593     6631     
4319     594     6638     
4324     594     6645     
4329     595     6652     
4334     595     6659     
4339     595     6666     
4344     595     6673     
4348     596     6681     
4352     597     6689     
4357     598     6697     
4361     599     6704     
4365     600     6711     
4370     600     6718     
4374     601     6725     
4378     602     6732     
4382     603     6739     
4387     603     6746     
4391     604     6753     
4396     604     6760     
4401     604     6767     
